,date,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
0,2/2/2015 14:00,23.7,26.272,585.2,749.2,0.004764163,1
1,2/2/2015 15:00,23.718,26.29,578.4,760.4,0.004772661,1
2,2/2/2015 16:00,23.73,26.23,572.6666667,769.6666667,0.004765153,1
3,2/2/2015 17:00,23.7225,26.125,493.75,774.75,0.004743773,1
4,2/2/2015 18:00,23.754,26.2,488.6,779.0,0.004766594,1
5,2/2/2015 19:00,23.76,26.26,568.6666667,790.0,0.004779332,1
6,2/2/2015 20:00,23.73,26.29,536.3333333,798.0,0.004776136,1
7,2/2/2015 21:00,23.754,26.29,509.0,797.0,0.004783094,1
8,2/2/2015 22:00,23.754,26.35,476.0,803.2,0.004794094,1
9,2/2/2015 23:00,23.736,26.39,510.0,809.0,0.004796189,1
10,2/3/2015 0:00,23.745,26.445,481.5,815.25,0.004808886,1
11,2/3/2015 1:00,23.7,26.56,481.8,824.0,0.004816793,1
12,2/3/2015 2:00,23.7,26.6,475.25,832.0,0.004824104,1
13,2/3/2015 3:00,23.7,26.7,469.0,845.3333333,0.004842381,1
14,2/3/2015 4:00,23.7,26.774,464.0,852.4,0.004855906,1
15,2/3/2015 5:00,23.7,26.89,464.0,861.0,0.00487711,1
16,2/3/2015 6:00,23.7,26.9725,455.0,880.0,0.004892191,1
17,2/3/2015 7:00,23.6,26.89,454.0,891.0,0.004847594,1
18,2/3/2015 8:00,23.64,26.976,458.0,897.6,0.004875045,1
19,2/3/2015 9:00,23.65,27.05,464.0,900.5,0.004891492,1
20,2/3/2015 10:00,23.64,27.1,473.0,908.8,0.00489763,1
21,2/3/2015 11:00,23.6,27.16,464.0,918.0,0.004896652,1
22,2/3/2015 12:00,23.6,27.236,498.4,925.2,0.004910462,1
23,2/3/2015 13:00,23.6,27.29,530.2,929.4,0.004920275,1
24,2/3/2015 14:00,23.6,27.33,533.6,936.4,0.004927544,1
25,2/3/2015 15:00,23.6,27.34,524.25,950.0,0.004929361,1
26,2/3/2015 16:00,23.625,27.3925,498.6666667,961.0,0.004946406,1
27,2/3/2015 17:00,23.6,27.39,516.3333333,963.0,0.004938448,1
28,2/3/2015 18:00,23.6,27.412,501.2,958.6,0.004942446,1
29,2/3/2015 19:00,23.6,27.5,522.0,965.3333333,0.004958439,1
30,2/3/2015 20:00,23.6,27.525,520.5,979.25,0.004962982,1
31,2/3/2015 21:00,23.6,27.6,505.2857143,978.4285714,0.004976614,1
32,2/3/2015 22:00,23.6,27.6,488.3333333,983.0,0.004976614,1
33,2/3/2015 23:00,23.6,27.54,512.0,992.6,0.004965709,1
34,2/4/2015 0:00,23.6,27.6,511.0,997.2,0.004976614,1
35,2/4/2015 1:00,23.61666667,27.63333333,501.5,999.5,0.004987718,1
36,2/4/2015 2:00,23.66666667,27.7,503.6666667,1001.0,0.005015051,1
37,2/4/2015 3:00,23.6,27.7,483.1666667,1009.5,0.00499479,1
38,2/4/2015 4:00,23.6,27.7225,483.5,1019.0,0.004998879,1
39,2/4/2015 5:00,23.6,27.79,473.0,1021.0,0.005011149,1
40,2/4/2015 6:00,23.6,27.85666667,470.3333333,1024.666667,0.005023268,1
41,2/4/2015 7:00,23.6,27.80428571,480.1428571,1030.428571,0.005013746,1
42,2/4/2015 8:00,23.575,27.79,464.0,1026.25,0.005003545,1
43,2/4/2015 9:00,23.54,27.81,474.4,1028.0,0.004996538,1
44,2/4/2015 10:00,23.6,27.978,470.0,1034.8,0.005045325,1
45,2/4/2015 11:00,23.525,28.0,454.0,1055.5,0.005026367,1
46,2/4/2015 12:00,23.5,27.978,454.0,1055.25,0.00501476,1
47,2/4/2015 13:00,23.5,28.0,454.0,1050.0,0.005018735,1
48,2/4/2015 14:00,23.5,28.0,454.0,1051.25,0.005018735,1
49,2/4/2015 15:00,23.5,28.0,445.0,1053.6,0.005018735,1
50,2/4/2015 16:00,23.5,28.0,439.0,1055.5,0.005018735,1
51,2/4/2015 17:00,23.5,28.025,444.25,1055.0,0.005023252,1
52,2/4/2015 18:00,23.445,28.125,454.75,1059.5,0.005024491,1
53,2/4/2015 19:00,23.39,28.18,455.8,1060.0,0.005017582,1
54,2/4/2015 20:00,23.39,28.2,451.6,1073.6,0.005021172,1
55,2/4/2015 21:00,23.39,28.2,451.6,1078.6,0.005021172,1
56,2/4/2015 22:00,23.39,28.2,454.75,1081.0,0.005021172,1
57,2/4/2015 23:00,23.39,28.2225,454.75,1082.0,0.005025211,1
58,2/5/2015 0:00,23.39,28.37333333,457.5,1088.833333,0.005052286,1
59,2/5/2015 1:00,23.37,28.39,464.0,1090.6,0.00504913,1
60,2/5/2015 2:00,23.39,28.32333333,464.0,1086.0,0.00504331,1
61,2/5/2015 3:00,23.37333333,28.445,464.0,1092.5,0.005060017,1
62,2/5/2015 4:00,23.39,28.5,471.5,1103.75,0.005075025,1
63,2/5/2015 5:00,23.32333333,28.5,475.6666667,1104.5,0.005054476,1
64,2/5/2015 6:00,23.365,28.5,471.5,1103.5,0.00506731,1
65,2/5/2015 7:00,23.29,28.5,467.75,1112.0,0.005044229,1
66,2/5/2015 8:00,23.30666667,28.53333333,466.5,1105.666667,0.005055304,1
67,2/5/2015 9:00,23.29,28.7,464.0,1104.0,0.005079916,1
68,2/5/2015 10:00,23.29,28.7,467.0,1117.2,0.005079916,1
69,2/5/2015 11:00,23.29,28.675,467.75,1121.25,0.005075455,1
70,2/5/2015 12:00,23.29,28.61666667,466.5,1115.666667,0.005065046,1
71,2/5/2015 13:00,23.29,28.66,459.0,1120.0,0.005072779,1
