,median_home_val,median_household_income,ic2,ic3,ic4,ic5,avggift,x0_AL,x0_AR,x0_AZ,x0_CA,x0_CO,x0_FL,x0_GA,x0_IA,x0_IL,x0_IN,x0_KS,x0_KY,x0_LA,x0_MI,x0_MN,x0_MO,x0_MS,x0_NC,x0_NE,x0_NM,x0_NV,x0_OK,x0_OR,x0_SC,x0_TN,x0_TX,x0_WA,x0_WI,x1_F,x1_M
0,1158.437751,392.0,430.0,466.0,520.0,21975.0,10.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,537.0,365.0,415.0,410.0,473.0,19387.0,5.666666667,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,725.0,301.0,340.0,361.0,436.0,18837.0,4.111111111,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,1158.437751,401.0,407.0,399.0,413.0,14014.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4,995.0,252.0,280.0,316.0,348.0,17991.0,6.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,1569.0,312.0,672.0,357.0,402.0,25775.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
6,1026.0,459.0,470.0,491.0,496.0,13803.0,11.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,890.0,463.0,474.0,512.0,523.0,9493.0,11.28571429,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,1513.0,521.0,599.0,615.0,702.0,14056.0,18.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,948.0,330.0,365.0,368.0,411.0,17728.0,15.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,1063.0,255.0,260.0,312.0,317.0,14023.0,8.372790698,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,291.0,136.0,168.0,180.0,212.0,8370.0,10.61111111,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,1538.0,271.0,317.0,342.0,393.0,15627.0,5.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,715.0,339.0,378.0,371.0,396.0,12617.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
14,559.0,232.0,270.0,257.0,269.0,10511.0,12.61111111,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,1158.437751,368.0,457.0,450.0,531.0,14056.0,12.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
16,596.0,164.0,168.0,181.0,190.0,5273.0,16.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,878.0,310.0,517.0,433.0,588.0,22281.0,10.13333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,1275.0,405.0,453.0,500.0,545.0,20971.0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
19,770.0,613.0,632.0,655.0,678.0,21179.0,8.928571429,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,2089.0,275.0,296.0,322.0,356.0,10484.0,7.125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,765.0,408.0,430.0,357.0,472.0,15150.0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,1458.0,299.0,354.0,356.0,446.0,19185.0,6.181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
23,1590.0,240.0,238.0,262.0,257.0,7559.0,13.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,613.0,212.0,245.0,294.0,355.0,11792.0,11.83333333,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,477.0,256.0,282.0,292.0,316.0,10621.0,5.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
26,424.0,192.0,256.0,230.0,256.0,9497.0,4.863636364,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,383.0,312.0,256.0,359.0,380.0,14045.0,13.82352941,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,688.0,422.0,466.0,457.0,490.0,16561.0,11.06666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
29,770.0,280.0,353.0,328.0,373.0,12935.0,9.260869565,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,625.0,246.0,466.0,362.0,536.0,19102.0,14.09090909,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31,1560.0,500.0,488.0,487.0,485.0,13816.0,15.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,716.0,146.0,339.0,227.0,382.0,11136.0,12.47826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
33,1247.0,215.0,313.0,350.0,444.0,16891.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
34,611.0,265.0,323.0,302.0,337.0,12313.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,1431.0,291.0,390.0,315.0,376.0,10498.0,13.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36,1089.0,431.0,520.0,357.0,538.0,16777.0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
37,435.0,244.0,298.0,281.0,329.0,10692.0,10.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38,1409.0,321.0,405.0,377.0,428.0,15611.0,12.66666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39,647.0,369.0,422.0,401.0,463.0,18492.0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
40,415.0,199.0,308.0,242.0,300.0,11449.0,8.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
41,492.0,172.0,384.0,276.0,399.0,13218.0,8.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
