,median_home_val,num_habitaciones,num_vecinos,total_habitaciones,total_baños,x0_AL,x0_AR,x0_AZ,x0_CA,x0_CO,x0_FL,x0_GA,x0_IA,x0_IL,x0_IN,x0_KS,x0_KY,x0_LA,x0_MI,x0_MN,x0_MO,x0_MS,x0_NC,x0_NE,x0_NM,x0_NV,x0_OK,x0_OR,x0_SC,x0_TN,x0_TX,x0_WA,x0_WI,x1_F,x1_M
0,8.423110692988534,0.4921539947858112,0.811992681895211,0.857989981187013,1.8553008276466834,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,7.358042683699513,0.3666381940312616,0.3268960187161626,0.47383304134385196,1.230089691641218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,7.769122837716512,-0.26094080974148637,-0.09756356156550475,0.17141162061625712,1.097220246199562,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,8.423110692988534,0.29969643362883513,0.23160917416313523,-0.016580073349545074,-0.06792399991881488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4,8.209239980414232,-0.7630040127596848,-0.48737338019152576,-0.5478609476007252,0.8928428810293055,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,8.854497525727671,2.5171422469592115,-0.13221332322115106,-0.10648914437666786,2.77330790524358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
6,8.252256562345453,0.8268627967979435,1.0285536922430005,0.6618247353096541,-0.11889755080643204,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,8.053418911162026,0.8603336769991566,1.2104649409351436,0.8825106369216827,-1.1601108414492278,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,8.802478565947746,1.9062986832870699,2.1026963035680364,2.3455764290903174,-0.05777760590327024,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,8.141526127347987,-0.05174780848390372,-0.036926478668123694,-0.032927177172658306,0.8293071280272045,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,8.302009239314092,-0.9303584137657509,-0.5220231418471721,-0.8012410568589803,-0.06574977262976961,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,6.537478081025021,-1.700188658393655,-1.6654652764835005,-1.6594640075724252,-1.4314060909601003,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,8.825923782751111,-0.4533983708984624,-0.26214992942982474,-0.1800511115806774,0.3217458464400783,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,7.749968742994853,0.05703255217003926,-0.010939157426388957,-0.15553045584600755,-0.40541239134062135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
14,7.4126803768226415,-0.8466812132627178,-0.9984573646123089,-1.193571548613698,-0.9141815769772171,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,8.423110692988534,0.7180824361440005,0.6733936352726257,0.9478990522141357,-0.05777760590327024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
16,7.500117565464502,-1.700188658393655,-1.6568028360695888,-1.8392821496266707,-2.179581859201571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,8.034509563963365,1.2201456391621988,0.5261321482361289,1.413791511172863,1.929224555474223,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,8.558753022817411,0.6846115559427872,1.1065156559682048,1.0623287789759284,1.6127536945131875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
19,7.852319513455735,2.1824334449470792,2.4491939201244994,2.1494111832129583,1.6630025029711228,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,9.26744519001624,-0.6291204919548319,-0.4353987377080563,-0.48247253230827225,-0.920704258844353,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,7.843307202901385,0.4921539947858112,-0.13221332322115106,0.46565948943229535,0.2065118001206784,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,8.74957441156654,-0.14379272903724008,-0.14087576363506263,0.2531471397318233,1.181290368042646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
