,order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
338,ORD108392,ID2069604238,2019-09-21,nickolson,"[('Olivia x460', 1), ('Lucent 330S', 2), ('iAssist Line', 1)]",5910,108.54,-37.8024922,144.9809522,5,5723.04,Spring,True,1.5083,four stars big fan,True
339,ORD127881,ID2776664746,2019-09-23,Thompson,"[('Candle Inferno', 1), ('Toshika 750', 1), ('Lucent 330S', 2), ('iStream', 1)]",7360,107.35,-37.826394,145.0194182,25,5627.35,Spring,True,1.5854,good phone very good condition.,True
340,ORD347062,ID4238873970,2019-04-23,Nickolson,"[('iAssist Line', 2), ('Alcon 10', 2), ('Universe Note', 2)]",29250,81.45,-37.8093611,144.9645195,5,27868.95,Autumn,True,1.1191,"yup, better than i expected was new really. just 2 chips in the chrome. the rest brand new",True
341,ORD359903,ID0316413850,2019-01-08,Thompson,"[('Lucent 330S', 2), ('pearTV', 1)]",8770,77.74,-37.8105357,144.9593008,25,6655.24,Summer,False,1.1017,good phone really like it,True
342,ORD250175,ID2347007247,2019-06-23,Thompson,"[('Toshika 750', 1), ('Alcon 10', 2), ('Lucent 330S', 2)]",24680,76.85,-37.8211126,144.9472811,25,18586.85,Winter,True,0.9396,five stars my favorite phone ever! broke 1 and bought same again :) do not want to upgrade it ever! lol,True
343,ORD113670,ID6024429121,2019-11-13,Thompson,"[('Olivia x460', 2), ('Universe Note', 1), ('Candle Inferno', 2), ('iAssist Line', 1)]",8985,101.65,-37.8162225,144.9383605,15,7738.9,Spring,True,0.8617,"great product the phone came sealed and brand new. no problems or complaints, great product 10/10",True
344,ORD103709,ID0767592589,2019-08-30,Nickolson,"[('Universe Note', 2), ('iStream', 1)]",7050,66.21,37.8081194,144.9731848,25,5353.71,Winter,False,1.2091,nice phone. my sons first starter phone. my son seems to enjoy this phone and taking pictures.,True
345,ORD343782,ID0417273054,2019-04-09,Bakers,"[('Lucent 330S', 2), ('Olivia x460', 1)]",3685,80.31,-37.8092623,144.9838244,0,3765.31,Autumn,True,1.0066,"perfect for my needs nice little phone to replace my original gusto which did not survive the washing machine. easy to use, nice display and features that fit most of my needs. the prepaid plan minimizes the phone bill to a manageable amount every month.",True
346,ORD455246,ID4326586172,02-24-2019,Thompson,"[('iAssist Line', 1), ('Alcon 10', 2), ('Candle Inferno', 2)]",20985,81.66,-37.8007705,144.9574101,15,17918.91,Summer,False,1.6071,five stars absolutely fabulous,True
347,ORD307978,ID3143370318,2019-10-18,Thompson,"[('Thunder line', 1), ('Lucent 330S', 1), ('Alcon 10', 2)]",21310,98.58,-37.8135412,144.9426636,0,21408.58,Spring,True,0.3993,a i like it 😊,True
348,ORD026756,ID0252588997,2019-10-11,Thompson,"[('pearTV', 1), ('Toshika 750', 2), ('Alcon 10', 1)]",23900,75.41,-37.8181125,144.9486411,25,18000.41,Spring,False,0.6211,great condition nephew very happy with it,True
349,ORD021786,ID0298046598,2019-10-29,Nickolson,"[('Alcon 10', 2), ('Thunder line', 1), ('Lucent 330S', 2)]",22540,72.88,-37.8210654,144.9664847,15,19231.88,Spring,False,0.3851,it's a good phone it's a good phone but compared to the new generation it's look old,True
350,ORD407964,ID6221450542,2019-07-13,Bakers,"[('Toshika 750', 1), ('Alcon 10', 2), ('iStream', 1), ('Thunder line', 2)]",26730,65.9,-37.8088109,144.9831656,0,26795.9,summer,False,1.0694,good phone great phone i. been useong this for the past month no problems with it only down soze is space i find if u put your apps and misoc on sd card it hwlps alot,True
351,ORD381638,ID0767737648,2019-01-20,Thompson,"[('iAssist Line', 1), ('Alcon 10', 1), ('Universe Note', 2)]",18075,79.49,-37.8040695,144.9582857,0,87224.69,Summer,False,1.3749,amazing for the price this phone is amazing for the price!! love the big screen and facial recognition,True
352,ORD497037,ID3161948917,2019-04-28,Thompson,"[('Olivia x460', 2), ('iStream', 1), ('iAssist Line', 2), ('Candle Inferno', 2)]",7910,50.65,-37.8087002,144.9566447,25,5983.15,Autumn,False,0.9512,issues connecting to wifi it will not connect to our wifi. i've been reading in forums and a lot of people are having this problem. i've checked router settings and nothing has worked.,False
353,ORD184906,ID4326586187,2019-08-17,Nickolson,"[('iStream', 2), ('Olivia x460', 1), ('Alcon 10', 2), ('Lucent 330S', 1)]",20655,64.96,37.8102462,144.9613499,5,19687.21,Winter,False,1.1764,"perfect! wouldn't have known this was reconditioned. looks and acts perfect, no trouble of any kind. the phone itself is top notch.",True
354,ORD453377,ID2180785618,03/27/2019,Nickolson,"[('Toshika 750', 1), ('Lucent 330S', 1), ('Alcon 10', 2)]",23450,77.17,-37.8146899,144.9690651,5,22354.67,Autumn,True,0.4368,i would order it again i was really happy with his phone thanks,True
355,ORD068296,ID0252588294,2019-09-12,Nickolson,"[('Toshika 750', 1), ('Universe Note', 2), ('Lucent 330S', 2), ('Olivia x460', 2)]",16130,98.5,-37.8182748,144.9755146,10,14615.5,Spring,True,0.5256,works fine works fine. good value for the money.,True
356,ORD463964,ID4245791604,2019-01-22,Thompson,"[('pearTV', 1), ('Candle Inferno', 1), ('iStream', 1)]",6890,88.33,-37.8012547,144.9626936,5,6633.83,Summer,True,1.8719,no sound with 6 months use speaker has gone in 6 months. totally disappointed. did all sort of troubleshooting no result.,False
